372,15680,5904,-344,-25,-61
368,15676,5840,-352,-29,-71
376,15584,5848,-335,-28,-59
308,15616,5872,-339,-46,-65
308,15728,5900,-343,-44,-81
256,15612,5928,-351,-35,-66
324,15692,5880,-368,-43,-69
380,15660,5912,-356,-58,-43
240,15608,5864,-354,-28,-70
360,15676,5856,-344,-57,-48
324,15624,5876,-345,-51,-67
260,15716,5900,-344,-56,-82
304,15624,5900,-351,-40,-57
336,15684,5872,-359,-50,-75
264,15656,5888,-340,-46,-67
252,15684,6040,-353,-44,-76
428,15700,5860,-345,-39,-61
328,15680,5924,-340,-54,-84
228,15640,6000,-360,-44,-72
264,15732,5980,-341,-33,-54
236,15712,6008,-352,-40,-69
388,15708,6000,-351,-47,-70
308,15640,5948,-347,-45,-73
268,15744,5908,-337,-41,-71
288,15668,5800,-334,-51,-64
296,15656,6008,-347,-26,-65
312,15664,5908,-344,-50,-67
268,15632,5936,-357,-70,-64
192,15548,5984,-353,-51,-60
320,15640,5904,-338,-46,-67
224,15692,5944,-352,-37,-66
348,15684,5916,-345,-69,-86
356,15696,5960,-342,-49,-77
232,15588,6008,-335,-59,-83
300,15588,5980,-350,-35,-67
348,15576,5908,-353,-39,-63
368,15664,5860,-345,-53,-70
372,15588,5940,-340,-25,-56
196,15704,6016,-362,-46,-67
272,15616,6052,-369,-41,-76
360,15584,5868,-333,-30,-81
348,15616,5960,-341,-55,-48
264,15664,5928,-363,-60,-80
400,15716,6016,-350,-27,-104
288,15628,5976,-351,-37,-75
348,15736,6008,-341,-63,-72
272,15628,6004,-347,-46,-70
204,15616,6052,-352,-66,-76
328,15636,5956,-332,-41,-59
304,15584,5984,-352,-48,-62
348,15656,5876,-346,-65,-64
240,15620,5932,-352,-39,-57
244,15580,5844,-354,-64,-102
368,15672,6036,-370,-58,-57
236,15720,5892,-340,-38,-62
296,15572,6048,-360,-54,-43
248,15712,5964,-354,-50,-88
344,15640,5980,-367,-22,-77
308,15560,5744,-361,-48,-66
264,15724,5916,-338,-33,-63
308,15532,5852,-363,-37,-49
