468,15768,5392,-888,-85,119
524,15684,5476,-908,-112,111
424,15720,5424,-915,-100,105
468,15760,5464,-910,-109,112
540,15656,5328,-888,-110,90
468,15756,5420,-898,-124,131
456,15784,5468,-924,-94,108
516,15660,5344,-914,-80,129
492,15768,5412,-881,-97,107
512,15668,5468,-877,-102,105
484,15800,5308,-895,-112,115
460,15688,5380,-881,-91,104
512,15688,5352,-888,-120,114
472,15740,5336,-894,-113,94
500,15740,5324,-913,-99,111
472,15656,5196,-892,-111,93
496,15820,5368,-892,-119,82
440,15780,5388,-903,-107,118
436,15756,5384,-901,-72,103
492,15732,5472,-887,-87,86
508,15756,5352,-889,-108,118
556,15732,5456,-880,-97,123
496,15728,5384,-878,-96,104
448,15720,5360,-887,-99,110
400,15688,5232,-897,-118,107
512,15664,5440,-883,-101,96
416,15716,5312,-922,-120,97
564,15628,5140,-895,-104,108
424,15712,5464,-908,-115,134
480,15724,5436,-907,-115,103
552,15764,5460,-890,-94,112
488,15716,5400,-906,-107,101
460,15764,5388,-895,-118,116
544,15792,5480,-907,-129,103
444,15600,5280,-911,-102,114
480,15668,5380,-916,-97,144
492,15764,5400,-914,-113,113
372,15756,5276,-904,-76,110
544,15712,5324,-915,-108,101
536,15688,5356,-903,-105,120
420,15744,5532,-898,-106,105
468,15676,5364,-887,-82,96
412,15820,5444,-850,-101,90
484,15704,5272,-906,-95,124
520,15744,5324,-896,-104,121
508,15708,5504,-922,-86,100
388,15724,5292,-884,-107,112
420,15816,5360,-885,-116,96
520,15760,5284,-887,-105,136
520,15748,5456,-904,-105,120
484,15724,5400,-907,-96,111
472,15724,5340,-885,-83,110
436,15704,5296,-913,-117,103
472,15696,5424,-897,-122,105
540,15740,5344,-895,-103,119
596,15724,5456,-890,-117,119
536,15744,5356,-885,-117,98
476,15724,5308,-912,-108,105
528,15720,5300,-892,-101,126
512,15692,5424,-897,-96,108
564,15780,5388,-915,-111,113
508,15684,5380,-909,-100,91
440,15676,5356,-905,-97,91
600,15724,5396,-879,-107,129
468,15696,5304,-881,-90,130
496,15720,5364,-904,-107,112
432,15768,5196,-896,-85,112
356,15592,5316,-884,-91,93
516,15768,5232,-893,-77,107
564,15660,5312,-896,-103,108
436,15828,5364,-894,-92,121
452,15700,5592,-924,-99,69
512,15712,5416,-886,-108,98
500,15676,5332,-894,-99,90
532,15752,5308,-892,-124,138
456,15776,5328,-898,-101,105
400,15724,5236,-873,-102,111
476,15748,5420,-918,-111,107
456,15680,5316,-903,-104,99
516,15772,5396,-897,-101,117
488,15752,5456,-889,-82,107
444,15748,5412,-894,-109,107
612,15740,5320,-891,-106,121
484,15696,5312,-906,-106,108
484,15732,5336,-889,-110,109
428,15816,5388,-896,-115,119
540,15684,5380,-899,-100,132
468,15808,5500,-879,-109,116
532,15772,5380,-900,-85,118
512,15776,5368,-894,-104,109
416,15712,5312,-901,-117,97
468,15704,5440,-903,-110,111
532,15748,5288,-900,-91,121
500,15740,5304,-882,-100,93
584,15656,5360,-879,-109,121
560,15768,5420,-891,-89,118
420,15708,5484,-902,-78,130
540,15684,5416,-895,-103,89
520,15672,5484,-902,-106,96
444,15696,5472,-909,-107,93
508,15700,5576,-884,-95,97
588,15660,5396,-905,-107,102
448,15744,5312,-889,-145,120
480,15676,5368,-876,-99,102
496,15768,5452,-894,-94,105
500,15736,5332,-884,-102,115
424,15708,5556,-906,-102,126
424,15716,5476,-908,-98,94
628,15732,5408,-891,-99,116
504,15748,5260,-900,-98,105
480,15736,5364,-886,-112,122
572,15748,5228,-897,-104,130
456,15748,5328,-915,-109,117
536,15804,5432,-886,-106,116
456,15672,5480,-874,-90,104
496,15676,5436,-877,-97,96
480,15764,5440,-897,-106,106
556,15796,5400,-891,-97,112
628,15680,5368,-891,-108,103
484,15692,5464,-873,-105,107
504,15820,5476,-889,-91,95
468,15836,5372,-900,-93,100
628,15668,5344,-892,-89,92
536,15864,5424,-904,-96,83
444,15652,5268,-876,-129,112
460,15716,5480,-899,-105,116
548,15716,5336,-883,-97,87
544,15800,5272,-865,-108,93
484,15660,5344,-886,-107,104
532,15716,5264,-883,-98,85
396,15736,5360,-899,-104,111
496,15772,5424,-889,-94,116
500,15744,5236,-903,-110,123
488,15768,5420,-898,-111,104
492,15604,5456,-885,-102,106
600,15728,5144,-891,-95,92
432,15768,5332,-892,-102,123
620,15744,5436,-880,-102,89
492,15708,5412,-894,-93,113
592,15760,5372,-901,-93,107
480,15708,5368,-877,-87,116
572,15764,5192,-895,-98,108
512,15720,5352,-895,-110,97
500,15716,5532,-903,-114,129
464,15776,5480,-882,-81,102
556,15768,5356,-893,-80,92
632,15732,5440,-917,-113,97
484,15676,5368,-911,-113,115
500,15716,5396,-879,-96,120
452,15672,5188,-901,-93,105
